lex,antonym
back,front
rural_area,urban_area
slave_state,free_state
incentive,disincentive
abience,adience
ascent,descent
closed_chain,open_chain
distributary,tributary
highland,lowland
high_sea,territorial_waters
international_waters,territorial_waters
inessential,essential
natural_depression,natural_elevation
cacodemon,eudemon
adult,juvenile
captor,liberator
leader,follower
nonreligious_person,religious_person
nonworker,worker
nondrinker,drinker
defendant,plaintiff
achiever,loser
acquaintance,stranger
agonist,antagonist
friend,foe
amateur,professional
ancestor,descendant
aunt,uncle
bad_egg,good_egg
bad_guy,good_guy
bad_person,good_person
bear,bull
borrower,lender
brother,sister
child,parent
citizen,noncitizen
civilian,serviceman
classicist,romanticist
clergyman,layman
conservative,liberal
conformist,nonconformist
Nonconformist,Anglican
creditor,debtor
daughter,son
girl,boy
dove,hawk
draftee,volunteer
driver,nondriver
egalitarian,elitist
emotional_person,unemotional_person
employee,employer
expert_witness,lay_witness
extrovert,introvert
father,mother
male_parent,female_parent
fat_person,thin_person
female_aristocrat,male_aristocrat
female_offspring,male_offspring
female_sibling,male_sibling
female_child,male_child
granter,withholder
heir_apparent,heir_presumptive
husband,wife
inferior,superior
inpatient,outpatient
king,queen
male_monarch,female_monarch
Lady,Lord
noblewoman,nobleman
liar,square_shooter
libertarian,necessitarian
liveborn_infant,stillborn_infant
lumper,splitter
man,woman
masochist,sadist
member,nonmember
nephew,niece
nonpartisan,partisan
nonresident,resident
nonsmoker,smoker
optimist,pessimist
eremite,cenobite
generalist,specialist
sitter,stander
special_agent,general_agent
technophile,technophobe
winner,loser
alternating_current,direct_current
attraction,repulsion
centrifugal_force,centripetal_force
positive_charge,negative_charge
transparency,opacity
acrocarp,pleurocarp
Phanerogamae,Cryptogamia
mushroom,toadstool
cultivated_plant,weed
evergreen_plant,deciduous_plant
gain,loss
income,outgo
easy_money,tight_money
paper_profit,paper_loss
winnings,losings
secured_bond,unsecured_bond
cash_account,margin_account
active_trust,passive_trust
credit,cash
debit,credit
accrual_basis,cash_basis
listed_security,unlisted_security
anabolism,catabolism
anamorphism,katamorphism
anastalsis,peristalsis
anovulation,ovulation
asynchronous_operation,synchronous_operation
