lex,antonym
hardhearted,softhearted
alcoholic,nonalcoholic
harmless,harmful
harmonious,inharmonious
healthful,unhealthful
medical,surgical
operable,inoperable
pyretic,antipyretic
healthy,unhealthy
dry,phlegmy
heavenly,earthly
digestible,indigestible
headed,headless
unheaded,headed
heavy,light
weighty,weightless
light-duty,heavy-duty
light-footed,heavy-footed
heedless,heedful
enabling,disabling
helpful,unhelpful
heterodactyl,zygodactyl
heterogeneous,homogeneous
homozygous,heterozygous
heterosexual,homosexual
bisexual,heterosexual
hierarchical,nonhierarchical
high,low
raised,lowered
high-tech,low-tech
necked,neckless
ceilinged,floored
low-sudsing,high-sudsing
low-interest,high-interest
imitative,nonimitative
echoic,nonechoic
high-resolution,low-resolution
high-rise,low-rise
upland,lowland
home,away
homologous,heterologous
autologous,homologous
analogous,homologous
gabled,hipped
hipless,hipped
honest,dishonest
truthful,untruthful
honorable,dishonorable
hopeful,hopeless
institutionalized,noninstitutionalized
institutional,noninstitutional
iodinating,de-iodinating
consolable,inconsolable
horizontal,vertical
inclined,horizontal
erect,unerect
standing,seated
running,standing
passing,running
hospitable,inhospitable
amicable,hostile
hot,cold
vernal,summery
autumnal,wintry
human,nonhuman
superhuman,subhuman
humane,inhumane
humorous,humorless
hungry,thirsty
hurried,unhurried
identifiable,unidentifiable
immanent,transeunt
impaired,unimpaired
important,unimportant
impressive,unimpressive
noticeable,unnoticeable
improved,unimproved
cleared,uncleared
inaugural,exaugural
inboard,outboard
inbred,outbred
disinclined,inclined
incoming,outgoing
inductive,deductive
indulgent,nonindulgent
industrial,nonindustrial
infectious,noninfectious
infernal,supernal
informative,uninformative
gnostic,agnostic
informed,uninformed
ingenuous,disingenuous
inhabited,uninhabited
inheritable,noninheritable
inhibited,uninhibited
injectable,uninjectable
injured,uninjured
innocent,guilty
inspiring,uninspiring
instructive,uninstructive
edifying,unedifying
enlightening,unenlightening
integrated,segregated
nonintegrated,integrated
blended,unblended
combined,uncombined
integrative,disintegrative
intellectual,nonintellectual
intelligent,unintelligent
intelligible,unintelligible
intended,unintended
designed,undesigned
intensifying,moderating
interspecies,intraspecies
interested,uninterested
interesting,uninteresting
intramural,extramural
intra_vires,ultra_vires
intrinsic,extrinsic
introspective,extrospective
introversive,extroversive
ambiversive,introversive
intrusive,unintrusive
protrusive,intrusive
igneous,aqueous
extrusive,intrusive
invasive,confined
noninvasive,invasive
invigorating,debilitating
inviting,uninviting
in_vitro,in_vivo
ironed,unironed
wrinkled,unwrinkled
isotropic,anisotropic
glad,sad
joyful,sorrowful
joyous,joyless
juicy,juiceless
just,unjust
merited,unmerited
keyed,keyless
kind,unkind
knowable,unknowable
known,unknown
understood,ununderstood
labeled,unlabeled
lamented,unlamented
laureled,unlaureled
large,small
big,little
greater,lesser
lawful,unlawful
leaded,unleaded
leaky,tight
caulked,uncaulked
leavened,unleavened
leeward,windward
legal,illegal
legible,illegible
deciphered,undeciphered
biological,adoptive
legitimate,illegitimate
leptorrhine,catarrhine
platyrrhine,catarrhine
leptosporangiate,eusporangiate
like,unlike
alike,unalike
likely,unlikely
probable,improbable
limbed,limbless
limited,unlimited
lineal,collateral
nonlinear,linear
lined,unlined
listed,unlisted
literal,figurative
literate,illiterate
recorded,live
livable,unlivable
liveried,unliveried
loaded,unloaded
loamy,loamless
epidemic,endemic
ecdemic,endemic
gloved,gloveless
hatted,hatless
guided,unguided
legged,legless
logical,illogical
extended,unextended
mini,midi
maxi,mini
lossy,lossless
long,short
lengthwise,crosswise
lidded,lidless
constricted,unconstricted
lost,found
saved,lost
won,lost
loud,soft
piano,forte
hardened,soft
lovable,hateful
liked,disliked
loved,unloved
loving,unloving
lowercase,uppercase
lucky,unlucky
lyric,dramatic
made,unmade
magnetic,antimagnetic
geographic,magnetic
nonmagnetic,magnetic
major,minor
majuscule,minuscule
manageable,unmanageable
manly,unmanly
male,female
androgynous,male
manned,unmanned
marked,unmarked
branded,unbranded
married,unmarried
mated,unmated
masculine,feminine
womanly,unwomanly
neuter,masculine
matched,mismatched
mature,immature
ripe,green
seasonal,year-round
seasonable,unseasonable
seasoned,unseasoned
full-term,premature
maximal,minimal
maximum,minimum
meaningful,meaningless
measurable,immeasurable
meaty,meatless
mechanical,nonmechanical
melodious,unmelodious
tuneful,tuneless
membered,memberless
mined,unmined
musical,unmusical
melted,unmelted
merciful,merciless
metabolic,ametabolic
mild,intense
intensive,extensive
involved,uninvolved
military,civilian
unmilitary,military
mitigated,unmitigated
tempered,untempered
mobile,immobile
portable,unportable
removable,irremovable
metallic,nonmetallic
metamorphic,nonmetamorphic
moderate,immoderate
modern,nonmodern
modest,immodest
modified,unmodified
modulated,unmodulated
molar,molecular
monoclinous,diclinous
monoecious,dioecious
monophonic,polyphonic
monogamous,polygamous
monolingual,multilingual
monovalent,polyvalent
univalent,bivalent
multivalent,univalent
monotonic,nonmonotonic
moral,immoral
licit,illicit
principled,unprincipled
many,few
much,little
more,less
most,least
fewer,more
fewest,most
mortal,immortal
motivated,unmotivated
motorized,unmotorized
moved,unmoved
moving,unmoving
nonmoving,moving
still,moving
mown,unmown
seamanlike,unseamanlike
continental,intercontinental
international,national
interstate,intrastate
natural,unnatural
artificial,natural
supernatural,natural
ultimate,proximate
necessary,unnecessary
net,gross
neurotic,unneurotic
nice,nasty
nidicolous,nidifugous
noble,ignoble
lowborn,noble
normal,abnormal
hypertensive,hypotensive
normotensive,hypertensive
paranormal,normal
north,south
northern,southern
nosed,noseless
noticed,unnoticed
detected,undetected
determined,undetermined
noxious,innocuous
obedient,disobedient
obtrusive,unobtrusive
objective,subjective
obligated,unobligated
obligate,facultative
obvious,unobvious
obstructed,unobstructed
occupied,unoccupied
offensive,inoffensive
savory,unsavory
defensive,offensive
offending,unoffending
apologetic,unapologetic
official,unofficial
confirmed,unconfirmed
established,unestablished
conditioned,unconditioned
on-site,off-site
offstage,onstage
off-street,on-street
old,new
young,old
one-piece,two-piece
three-piece,one-piece
on-line,off-line
on,off
onside,offside
open,shut
closed,open
spaced,unspaced
enclosed,unenclosed
tanned,untanned
tapped,untapped
operational,nonoperational
opportune,inopportune
opposable,unopposable
opposed,unopposed
opposite,alternate
optimistic,pessimistic
aboral,oral
actinal,abactinal
orderly,disorderly
ordered,disordered
organized,disorganized
unorganized,organized
structured,unstructured
ordinary,extraordinary
inorganic,organic
holistic,atomistic
arranged,disarranged
oriented,unoriented
orienting,disorienting
original,unoriginal
orthodox,unorthodox
outdoor,indoor
outside,inside
covered,bare
coated,uncoated
roofed,roofless
leafy,leafless
lipped,lipless
overt,covert
paid,unpaid
painful,painless
painted,unpainted
delineated,undelineated
paintable,unpaintable
palatable,unpalatable
palpable,impalpable
parallel,perpendicular
oblique,parallel
pardonable,unpardonable
excusable,inexcusable
parental,filial
partial,impartial
particulate,nonparticulate
passable,impassable
passionate,passionless
past,present
future,past
born,unborn
parented,unparented
paternal,maternal
wifely,husbandly
patient,impatient
patriarchal,matriarchal
patronized,unpatronized
packaged,unpackaged
paved,unpaved
patriotic,unpatriotic
peaceful,unpeaceful
penitent,impenitent
repentant,unrepentant
perceptive,unperceptive
perceptible,imperceptible
perfect,imperfect
perishable,imperishable
permanent,impermanent
persistent,caducous
reversible,irreversible
nonreversible,reversible
revocable,irrevocable
permissible,impermissible
admissible,inadmissible
permissive,unpermissive
preventive,permissive
perplexed,unperplexed
personal,impersonal
persuasive,dissuasive
penetrable,impenetrable
permeable,impermeable
pervious,impervious
petalous,apetalous
puncturable,punctureless
psychoactive,nonpsychoactive
physical,mental
monotheistic,polytheistic
pious,impious
secular,religious
irreligious,religious
placable,implacable
plain,patterned
fancy,plain
planned,unplanned
studied,unstudied
plausible,implausible
pleasant,unpleasant
pleased,displeased
pleasing,displeasing
pointed,pointless
obtuse,acute
polished,unpolished
politic,impolitic
political,nonpolitical
ponderable,imponderable
popular,unpopular
pro,anti
positive,negative
neutral,positive
plus,minus
possible,impossible
potent,impotent
powerful,powerless
powered,unpowered
high-tension,low-tension
influential,uninfluential
placental,aplacental
planted,unplanted
plowed,unplowed
cultivated,uncultivated
potted,unpotted
practical,impractical
precise,imprecise
precocious,retarded
predictable,unpredictable
premeditated,unpremeditated
prepared,unprepared
prescription,nonprescription
absent,present
ostentatious,unostentatious
pretentious,unpretentious
primary,secondary
basic,incidental
private,public
exclusive,inclusive
privileged,underprivileged
productive,unproductive
generative,consumptive
reproducible,unreproducible
professional,nonprofessional
unprofessional,professional
profitable,unprofitable
profound,superficial
prognathous,opisthognathous
progressive,regressive
pronounceable,unpronounceable
proper,improper
prophetic,unprophetic
prospective,retrospective
protected,unprotected
protective,unprotective
proud,humble
proved,unproved
provident,improvident
provocative,unprovocative
prudent,imprudent
punctual,unpunctual
punished,unpunished
punitive,rehabilitative
purebred,crossbred
pure,impure
contaminated,uncontaminated
purposeful,purposeless
qualified,unqualified
trained,untrained
qualitative,quantitative
questionable,unquestionable
noisy,quiet
restful,restless
unquiet,quiet
random,nonrandom
rational,irrational
cerebral,emotional
racial,nonracial
reactive,unreactive
ready,unready
real,unreal
nominal,real
realistic,unrealistic
reasonable,unreasonable
reciprocal,nonreciprocal
refined,unrefined
processed,unprocessed
treated,untreated
oiled,unoiled
recoverable,unrecoverable
regenerate,unregenerate
registered,unregistered
regular,irregular
regulated,unregulated
remediable,irremediable
renewable,unrenewable
rentable,unrentable
reparable,irreparable
repeatable,unrepeatable
quotable,unquotable
repetitive,nonrepetitive
printable,unprintable
requested,unrequested
rhymed,unrhymed
uniform,multiform
periodic,aperiodic
related,unrelated
relevant,irrelevant
mindful,unmindful
replaceable,irreplaceable
representational,nonrepresentational
representative,nonrepresentative
reputable,disreputable
receptive,unreceptive
reconcilable,irreconcilable
reserved,unreserved
resistible,irresistible
resolute,irresolute
respectable,unrespectable
respectful,disrespectful
responsible,irresponsible
