axis,count
equal<-v->unequal,31
balanced<-v->unbalanced,10
hypertonic<-v->hypotonic,0
equivocal<-v->unequivocal,1
eradicable<-v->ineradicable,0
esoteric<-v->exoteric,1
essential<-v->inessential,40
dispensable<-v->indispensable,3
estimable<-v->contemptible,1
ethical<-v->unethical,6
complimentary<-v->uncomplimentary,1
flattering<-v->unflattering,0
euphemistic<-v->dysphemistic,0
euphoric<-v->dysphoric,1
even<-v->uneven,14
odd<-v->even,26
evergreen<-v->deciduous,0
exact<-v->inexact,15
convertible<-v->inconvertible,0
exchangeable<-v->unexchangeable,0
excitable<-v->unexcitable,0
excited<-v->unexcited,9
exciting<-v->unexciting,15
exculpatory<-v->inculpatory,0
exhaustible<-v->inexhaustible,1
exhausted<-v->unexhausted,6
existent<-v->nonexistent,4
extant<-v->extinct,1
expected<-v->unexpected,13
expedient<-v->inexpedient,1
expendable<-v->unexpendable,1
expensive<-v->cheap,24
experienced<-v->inexperienced,13
expired<-v->unexpired,0
explicable<-v->inexplicable,2
explicit<-v->implicit,10
exploited<-v->unexploited,0
expressible<-v->inexpressible,2
extensile<-v->nonextensile,0
extricable<-v->inextricable,1
bowed<-v->plucked,0
fingered<-v->fingerless,1
expansive<-v->unexpansive,0
extinguishable<-v->inextinguishable,0
external<-v->internal,26
outer<-v->inner,33
outward<-v->inward,8
exterior<-v->interior,3
eyed<-v->eyeless,2
playable<-v->unplayable,1
fair<-v->foul,16
unfair<-v->fair,14
equitable<-v->inequitable,4
faithful<-v->unfaithful,7
loyal<-v->disloyal,6
fallible<-v->infallible,1
familiar<-v->unfamiliar,29
strange<-v->familiar,81
fashionable<-v->unfashionable,3
stylish<-v->styleless,0
fast<-v->slow,45
fastidious<-v->unfastidious,2
fat<-v->thin,65
fatty<-v->nonfat,1
fatal<-v->nonfatal,10
curable<-v->incurable,1
fathomable<-v->unfathomable,0
favorable<-v->unfavorable,8
feathered<-v->unfeathered,1
felicitous<-v->infelicitous,0
fertile<-v->sterile,2
finished<-v->unfinished,7
finite<-v->infinite,19
opening<-v->closing,11
first<-v->last,488
intermediate<-v->terminal,12
second<-v->first,412
fissile<-v->nonfissile,0
fissionable<-v->nonfissionable,0
fit<-v->unfit,12
flat<-v->contrasty,21
flexible<-v->inflexible,7
uncompromising<-v->compromising,2
rigid<-v->nonrigid,9
adaptable<-v->unadaptable,1
campylotropous<-v->orthotropous,0
anatropous<-v->amphitropous,0
curly<-v->straight,26
footed<-v->footless,0
toed<-v->toeless,0
pigeon-toed<-v->splayfooted,1
fore<-v->aft,0
forehand<-v->backhand,0
native<-v->adopted,10
foreign<-v->native,43
nonnative<-v->native,8
domestic<-v->foreign,65
undomestic<-v->domestic,30
forgettable<-v->unforgettable,3
forgiving<-v->unforgiving,0
formal<-v->informal,22
former<-v->latter,97
fortunate<-v->unfortunate,18
fragrant<-v->malodorous,2
odorous<-v->odorless,0
scented<-v->scentless,4
free<-v->bound,62
fixed<-v->unfixed,23
unfree<-v->free,49
frequent<-v->infrequent,14
fresh<-v->stale,31
salty<-v->fresh,31
friendly<-v->unfriendly,29
hostile<-v->friendly,37
frozen<-v->unfrozen,7
fruitful<-v->unfruitful,1
full<-v->empty,120
drained<-v->undrained,0
full-time<-v->part-time,32
functional<-v->nonfunctional,5
functioning<-v->malfunctioning,1
organic<-v->functional,25
rigged<-v->unrigged,0
equipped<-v->unequipped,1
fledged<-v->unfledged,0
framed<-v->unframed,1
furnished<-v->unfurnished,1
funded<-v->unfunded,0
fueled<-v->unfueled,1
specified<-v->unspecified,6
geared<-v->ungeared,0
general<-v->specific,135
nonspecific<-v->specific,63
national<-v->local,130
endemic<-v->cosmopolitan,0
branchiate<-v->abranchiate,0
federal<-v->unitary,48
centralized<-v->decentralized,2
technical<-v->nontechnical,32
nonproprietary<-v->proprietary,0
generous<-v->stingy,4
ungenerous<-v->generous,4
genuine<-v->counterfeit,12
geocentric<-v->heliocentric,0
talented<-v->untalented,0
glazed<-v->unglazed,1
glorious<-v->inglorious,6
go<-v->no-go,0
good<-v->bad,314
evil<-v->good,266
good-natured<-v->ill-natured,1
graceful<-v->awkward,11
gracious<-v->ungracious,1
gradual<-v->sudden,40
steep<-v->gradual,12
grammatical<-v->ungrammatical,4
grateful<-v->ungrateful,11
haploid<-v->diploid,0
polyploid<-v->haploid,0
happy<-v->unhappy,46
regretful<-v->unregretful,0
hard<-v->soft,117
hardhearted<-v->softhearted,0
alcoholic<-v->nonalcoholic,0
harmless<-v->harmful,1
harmonious<-v->inharmonious,2
healthful<-v->unhealthful,2
medical<-v->surgical,34
operable<-v->inoperable,1
pyretic<-v->antipyretic,0
healthy<-v->unhealthy,20
dry<-v->phlegmy,19
heavenly<-v->earthly,1
digestible<-v->indigestible,1
headed<-v->headless,9
unheaded<-v->headed,7
heavy<-v->light,97
weighty<-v->weightless,0
light-duty<-v->heavy-duty,2
light-footed<-v->heavy-footed,3
heedless<-v->heedful,4
enabling<-v->disabling,3
helpful<-v->unhelpful,9
heterodactyl<-v->zygodactyl,0
heterogeneous<-v->homogeneous,11
homozygous<-v->heterozygous,7
heterosexual<-v->homosexual,1
bisexual<-v->heterosexual,0
hierarchical<-v->nonhierarchical,0
high<-v->low,306
raised<-v->lowered,7
high-tech<-v->low-tech,0
necked<-v->neckless,0
ceilinged<-v->floored,0
low-sudsing<-v->high-sudsing,2
low-interest<-v->high-interest,0
imitative<-v->nonimitative,2
echoic<-v->nonechoic,0
high-resolution<-v->low-resolution,1
high-rise<-v->low-rise,0
upland<-v->lowland,1
home<-v->away,11
homologous<-v->heterologous,0
autologous<-v->homologous,0
analogous<-v->homologous,6
gabled<-v->hipped,0
hipless<-v->hipped,0
honest<-v->dishonest,18
truthful<-v->untruthful,2
honorable<-v->dishonorable,1
hopeful<-v->hopeless,6
institutionalized<-v->noninstitutionalized,2
institutional<-v->noninstitutional,3
iodinating<-v->de-iodinating,5
consolable<-v->inconsolable,0
horizontal<-v->vertical,13
inclined<-v->horizontal,8
erect<-v->unerect,10
standing<-v->seated,10
running<-v->standing,5
passing<-v->running,4
hospitable<-v->inhospitable,2
amicable<-v->hostile,9
hot<-v->cold,110
vernal<-v->summery,1
autumnal<-v->wintry,1
human<-v->nonhuman,80
superhuman<-v->subhuman,1
humane<-v->inhumane,3
humorous<-v->humorless,9
hungry<-v->thirsty,9
hurried<-v->unhurried,4
identifiable<-v->unidentifiable,1
immanent<-v->transeunt,0
impaired<-v->unimpaired,2
important<-v->unimportant,155
impressive<-v->unimpressive,17
noticeable<-v->unnoticeable,3
improved<-v->unimproved,6
cleared<-v->uncleared,3
inaugural<-v->exaugural,2
inboard<-v->outboard,1
inbred<-v->outbred,0
disinclined<-v->inclined,4
incoming<-v->outgoing,3
inductive<-v->deductive,1
indulgent<-v->nonindulgent,2
industrial<-v->nonindustrial,25
infectious<-v->noninfectious,11
infernal<-v->supernal,3
informative<-v->uninformative,0
gnostic<-v->agnostic,0
informed<-v->uninformed,2
ingenuous<-v->disingenuous,0
inhabited<-v->uninhabited,1
inheritable<-v->noninheritable,0
inhibited<-v->uninhibited,1
injectable<-v->uninjectable,1
injured<-v->uninjured,7
innocent<-v->guilty,25
inspiring<-v->uninspiring,1
instructive<-v->uninstructive,1
edifying<-v->unedifying,1
enlightening<-v->unenlightening,0
integrated<-v->segregated,4
nonintegrated<-v->integrated,2
blended<-v->unblended,0
combined<-v->uncombined,1
integrative<-v->disintegrative,1
intellectual<-v->nonintellectual,4
intelligent<-v->unintelligent,13
intelligible<-v->unintelligible,5
intended<-v->unintended,4
designed<-v->undesigned,0
intensifying<-v->moderating,1
interspecies<-v->intraspecies,2
interested<-v->uninterested,26
interesting<-v->uninteresting,27
intramural<-v->extramural,0
intra_vires<-v->ultra_vires,0
intrinsic<-v->extrinsic,2
introspective<-v->extrospective,1
introversive<-v->extroversive,0
ambiversive<-v->introversive,0
intrusive<-v->unintrusive,1
protrusive<-v->intrusive,1
igneous<-v->aqueous,14
extrusive<-v->intrusive,1
invasive<-v->confined,0
noninvasive<-v->invasive,0
invigorating<-v->debilitating,2
inviting<-v->uninviting,2
in_vitro<-v->in_vivo,3
ironed<-v->unironed,0
wrinkled<-v->unwrinkled,1
isotropic<-v->anisotropic,3
glad<-v->sad,22
joyful<-v->sorrowful,2
joyous<-v->joyless,4
juicy<-v->juiceless,3
just<-v->unjust,5
merited<-v->unmerited,0
keyed<-v->keyless,0
kind<-v->unkind,5
knowable<-v->unknowable,0
known<-v->unknown,52
understood<-v->ununderstood,2
labeled<-v->unlabeled,2
lamented<-v->unlamented,0
laureled<-v->unlaureled,0
large<-v->small,378
big<-v->little,377
greater<-v->lesser,52
lawful<-v->unlawful,1
leaded<-v->unleaded,1
leaky<-v->tight,16
caulked<-v->uncaulked,0
leavened<-v->unleavened,1
leeward<-v->windward,0
legal<-v->illegal,24
legible<-v->illegible,0
deciphered<-v->undeciphered,0
biological<-v->adoptive,11
legitimate<-v->illegitimate,5
leptorrhine<-v->catarrhine,0
platyrrhine<-v->catarrhine,0
leptosporangiate<-v->eusporangiate,0
like<-v->unlike,38
alike<-v->unalike,2
likely<-v->unlikely,72
probable<-v->improbable,14
limbed<-v->limbless,0
limited<-v->unlimited,34
lineal<-v->collateral,0
nonlinear<-v->linear,7
